Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Jane,2022-01-06 08:07:17,00:00:28,Autoplayed: user action: None; ,Wild Things_hook_03_16x9,HOOK,iPhone 12 Mini,00:00:28,00:00:28,GB (United Kingdom)
Jane,2022-01-06 08:06:43,00:00:14,Autoplayed: user action: None; ,La Catedral del Mar (Trailer),TRAILER,iPhone 12 Mini,00:00:15,00:00:15,GB (United Kingdom)
Jane,2022-01-06 08:06:32,00:00:07,Autoplayed: user action: None; ,Season 1 Trailer: The Silent Sea,TRAILER,iPhone 12 Mini,00:00:08,00:00:08,GB (United Kingdom)
Jane,2022-01-05 19:56:24,00:04:26,Autoplayed: user action: User_Interaction; ,Motherland: Season 1: Pilot (Episode 1),,Samsung 2016 Jazz-L UHD TV Smart TV,00:04:27,00:04:27,GB (United Kingdom)
Jane,2022-01-05 19:55:30,00:00:43,Autoplayed: user action: None; ,Motherland: Season 1_hook_04_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:43,00:00:43,GB (United Kingdom)
Jane,2022-01-05 19:38:58,00:15:15,,The Hobbit: The Battle of the Five Armies,,Samsung 2016 Jazz-L UHD TV Smart TV,00:15:16,Not latest view,GB (United Kingdom)
Jane,2022-01-05 19:38:42,00:00:12,Autoplayed: user action: None; ,The Hobbit: The Battle of the Five Armies_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:12,00:00:12,GB (United Kingdom)
Jane,2022-01-05 19:38:02,00:00:17,Autoplayed: user action: None; ,The Nest_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:17,00:00:17,GB (United Kingdom)
Jane,2022-01-05 19:36:28,00:01:25,Autoplayed: user action: None; ,The Constant Gardener_hook_01_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:25,00:01:25,GB (United Kingdom)
Jane,2022-01-05 19:34:57,00:00:43,Autoplayed: user action: None; ,Motherland: Season 1_hook_04_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:43,Not latest view,GB (United Kingdom)
Jane,2022-01-05 19:34:01,00:00:27,Autoplayed: user action: None; ,Inside Man_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:27,00:00:27,GB (United Kingdom)
Jane,2022-01-05 19:33:38,00:00:06,Autoplayed: user action: None; ,Joanna Lumley's Jewel in the Nile: Season 1_hook_04_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:06,00:00:06,GB (United Kingdom)
Jane,2022-01-05 19:32:47,00:00:26,Autoplayed: user action: None; ,Main Character Intro Clip: The Lost Daughter,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:26,00:00:26,GB (United Kingdom)
Jane,2022-01-05 19:32:02,00:00:41,Autoplayed: user action: None; ,The Salisbury Poisonings: Season 1_hook_01_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:41,00:00:41,GB (United Kingdom)
Jane,2022-01-05 19:31:02,00:00:54,Autoplayed: user action: None; ,Genre Specific Moment Clip: Stay Close: Season 1,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:54,Not latest view,GB (United Kingdom)
Jane,2021-12-31 13:26:44,00:00:04,Autoplayed: user action: None; ,My Lover My Killer: Season 1_hook_04_16x9,HOOK,iPhone 12 Mini,00:00:05,00:00:05,GB (United Kingdom)
Jane,2021-12-31 13:25:26,00:00:30,Autoplayed: user action: None; ,Silent Hours_hook_02_16x9,HOOK,iPhone 12 Mini,00:00:31,00:00:31,GB (United Kingdom)
Jane,2021-12-29 22:43:39,00:01:03,Autoplayed: user action: None; ,Jerry Maguire_hook_primary_16x9,HOOK,Google Sabrina ATV Set Top Box,00:01:03,00:01:03,GB (United Kingdom)
Jane,2021-12-29 22:16:05,00:17:15,Autoplayed: user action: User_Interaction; ,The River Runner,,Google Sabrina ATV Set Top Box,00:16:48,Not latest view,GB (United Kingdom)
Jane,2021-12-29 22:03:18,00:12:24,Autoplayed: user action: User_Interaction; ,James Acaster: Repertoire: Collection: Represent (Episode 2),,Google Sabrina ATV Set Top Box,00:12:23,00:12:23,GB (United Kingdom)
Jane,2021-12-29 22:02:44,00:00:05,Autoplayed: user action: None; ,About a Boy_hook_primary_16x9,HOOK,Google Sabrina ATV Set Top Box,00:00:05,00:00:05,GB (United Kingdom)
Jane,2021-12-29 22:02:21,00:00:07,Autoplayed: user action: None; ,The Salisbury Poisonings: Season 1_hook_01_16x9,HOOK,Google Sabrina ATV Set Top Box,00:00:07,Not latest view,GB (United Kingdom)
Jane,2021-12-29 22:01:12,00:00:57,Autoplayed: user action: None; ,Clip 2: Death to 2021,HOOK,Google Sabrina ATV Set Top Box,00:00:57,00:00:57,GB (United Kingdom)
Jane,2021-12-29 21:59:36,00:00:52,Autoplayed: user action: None; ,Godless (Trailer),TRAILER,Google Sabrina ATV Set Top Box,00:00:52,00:00:52,GB (United Kingdom)
Jane,2021-12-29 21:59:23,00:00:06,Autoplayed: user action: None; ,The River Runner_hook_05_16x9,HOOK,Google Sabrina ATV Set Top Box,00:00:06,00:00:06,GB (United Kingdom)
Jane,2021-12-29 21:58:54,00:00:25,Autoplayed: user action: None; ,The River Runner_hook_05_16x9,HOOK,Google Sabrina ATV Set Top Box,00:00:25,Not latest view,GB (United Kingdom)
Jane,2021-12-24 22:09:20,00:34:46,,Love Actually,,Samsung 2016 Jazz-L UHD TV Smart TV,02:10:30,02:10:30,GB (United Kingdom)
Jane,2021-12-24 20:02:52,01:36:09,,Love Actually,,Samsung 2016 Jazz-L UHD TV Smart TV,01:35:44,Not latest view,GB (United Kingdom)
Jane,2021-12-24 20:02:43,00:00:06,Autoplayed: user action: None; ,Love Actually_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:06,00:00:06,GB (United Kingdom)
Jane,2021-12-24 20:02:24,00:00:10,Autoplayed: user action: None; ,Cape Fear_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-12-24 20:01:43,00:00:12,Autoplayed: user action: None; ,Last Christmas_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:12,00:00:12,GB (United Kingdom)
Jane,2021-12-24 10:00:04,00:02:14,,Trailer: Don't Look Up,TRAILER,Google Sabrina ATV Set Top Box,00:02:14,00:02:14,GB (United Kingdom)
Jane,2021-12-24 09:00:04,00:52:58,Autoplayed: user action: User_Interaction; ,Click & Collect,,Google Sabrina ATV Set Top Box,00:52:59,00:52:59,GB (United Kingdom)
Jane,2021-12-21 19:30:54,01:25:22,Autoplayed: user action: User_Interaction; ,The Yukon Assignment,,Samsung 2016 Jazz-L UHD TV Smart TV,01:25:25,01:25:25,GB (United Kingdom)
Jane,2021-12-21 17:16:17,00:00:54,,Peppa Pig: Season 1_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:54,00:00:54,GB (United Kingdom)
Jane,2021-12-21 17:13:46,00:02:28,,Trailer 1: Back to the Outback,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:02:28,00:02:28,GB (United Kingdom)
Jane,2021-12-21 17:11:51,00:01:52,Autoplayed: user action: None; ,Trailer: Robin Robin,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:52,00:01:52,GB (United Kingdom)
Jane,2021-12-21 16:47:23,00:24:22,,Elf Pets: Santa’s Reindeer Rescue,,Samsung 2016 Jazz-L UHD TV Smart TV,00:24:22,00:24:22,GB (United Kingdom)
Jane,2021-12-21 16:47:15,00:00:09,Autoplayed: user action: None; ,Cape Fear_hook_primary_16x9,HOOK,iPhone 12 Mini,00:00:10,Not latest view,GB (United Kingdom)
Jane,2021-12-21 16:46:38,00:00:10,Autoplayed: user action: None; ,Driving Home For Christmas / Click & Collect_hook_04_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-12-21 16:44:04,00:00:34,Autoplayed: user action: None; ,Trailer: The Power of the Dog,TRAILER,iPhone 12 Mini,00:00:34,00:00:34,GB (United Kingdom)
Jane,2021-12-21 16:43:41,00:00:10,Autoplayed: user action: None; ,The Yukon Assignment_hook_05_16x9,HOOK,iPhone 12 Mini,00:00:11,00:00:11,GB (United Kingdom)
Jane,2021-12-21 16:43:04,00:00:10,Autoplayed: user action: None; ,Midsommar_hook_05_16x9,HOOK,iPhone 12 Mini,00:00:11,00:00:11,GB (United Kingdom)
Jane,2021-12-21 16:42:08,00:00:09,Autoplayed: user action: None; ,A Call to Spy_hook_05_16x9,HOOK,iPhone 12 Mini,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-12-19 15:51:19,00:43:57,Autoplayed: user action: User_Interaction; ,Angela's Christmas 2,,Samsung 2016 Jazz-L UHD TV Smart TV,00:43:57,00:43:57,GB (United Kingdom)
Jane,2021-12-19 15:49:24,00:00:22,Autoplayed: user action: None; ,The War Below_hook_01_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:22,00:00:22,GB (United Kingdom)
Jane,2021-12-17 22:04:45,00:00:10,Autoplayed: user action: None; ,The Salisbury Poisonings: Season 1_hook_05_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-12-17 19:21:46,00:00:45,Autoplayed: user action: None; ,Trailer: The Power of the Dog,TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:46,Not latest view,GB (United Kingdom)
Jane,2021-12-17 19:20:02,00:00:07,Autoplayed: user action: None; ,Villain_hook_primary_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:08,00:00:08,GB (United Kingdom)
Jane,2021-12-17 19:19:41,00:00:13,Autoplayed: user action: None; ,The Yukon Assignment_hook_05_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:14,Not latest view,GB (United Kingdom)
Jane,2021-12-17 19:19:28,00:00:04,Autoplayed: user action: None; ,The War Below_hook_02_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:05,00:00:05,GB (United Kingdom)
Jane,2021-12-17 19:19:15,00:00:09,Autoplayed: user action: None; ,Inciting Incident Clip: The Unforgivable,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-12-17 19:19:06,00:00:04,Autoplayed: user action: None; ,People Places Things_hook_03_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:05,00:00:05,GB (United Kingdom)
Jane,2021-12-17 19:16:53,00:00:33,Autoplayed: user action: None; ,Supporting Character Clip: The Hand of God,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:34,00:00:34,GB (United Kingdom)
Jane,2021-12-17 18:19:16,00:00:11,Autoplayed: user action: None; ,The Yukon Assignment_hook_05_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:12,Not latest view,GB (United Kingdom)
Jane,2021-12-17 18:19:05,00:00:04,Autoplayed: user action: None; ,The River Runner_hook_05_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:05,Not latest view,GB (United Kingdom)
Jane,2021-12-17 18:17:16,00:00:04,Autoplayed: user action: None; ,Informative Clip: Bad Sport: Volume 1,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:05,00:00:05,GB (United Kingdom)
Jane,2021-12-17 18:16:52,00:00:07,Autoplayed: user action: None; ,Genre Specific Moment Clip: Love Hard,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:08,00:00:08,GB (United Kingdom)
Jane,2021-12-17 17:54:36,00:00:35,Autoplayed: user action: None; ,This Way Up: Series 1_hook_04_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:35,00:00:35,GB (United Kingdom)
Jane,2021-12-17 17:54:03,00:00:23,Autoplayed: user action: None; ,The Yukon Assignment_hook_05_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:24,Not latest view,GB (United Kingdom)
Jane,2021-12-17 17:53:19,00:00:12,Autoplayed: user action: None; ,Inciting Incident Clip: The Unforgivable,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:13,Not latest view,GB (United Kingdom)
Jane,2021-12-17 17:52:54,00:00:10,Autoplayed: user action: None; ,The War Below_hook_02_16x9,HOOK,Apple iPhone SE Gen 2 iPhone,00:00:11,Not latest view,GB (United Kingdom)
Jane,2021-12-11 21:55:31,00:16:32,,Dolemite Is My Name,,Samsung 2016 Jazz-L UHD TV Smart TV,01:53:10,01:53:10,GB (United Kingdom)
Jane,2021-12-11 19:29:58,01:37:04,Autoplayed: user action: User_Interaction; ,Dolemite Is My Name,,Samsung 2016 Jazz-L UHD TV Smart TV,01:36:40,Not latest view,GB (United Kingdom)
Jane,2021-12-10 18:08:29,00:00:40,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: Catching Killers,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:40,00:00:40,GB (United Kingdom)
Jane,2021-12-10 18:08:20,00:00:05,Autoplayed: user action: None; ,Villain / Antagonist Clip: True Story,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:05,00:00:05,GB (United Kingdom)
Jane,2021-12-10 18:07:43,00:00:27,Autoplayed: user action: None; ,Season 3 Teaser 1: Lost in Space,TEASER_TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:27,00:00:27,GB (United Kingdom)
Jane,2021-12-10 18:07:30,00:00:09,Autoplayed: user action: None; ,Part 4 Bonus Video 1: Money Heist,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:09,00:00:09,GB (United Kingdom)
Jane,2021-12-10 18:07:16,00:00:10,Autoplayed: user action: None; ,Titans: Season 1_VAR2-RECIPE-3_AGENCY1,TEASER_TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-12-04 19:23:20,00:08:04,,James Acaster: Repertoire: Collection: Represent (Episode 2),,Samsung 2016 Jazz-L UHD TV Smart TV,00:22:35,Not latest view,GB (United Kingdom)
Jane,2021-12-04 19:23:13,00:00:01,,James Acaster: Repertoire: Collection: Represent (Episode 2),,Samsung 2016 Jazz-L UHD TV Smart TV,00:14:31,Not latest view,GB (United Kingdom)
Jane,2021-12-04 18:34:17,00:14:32,,James Acaster: Repertoire: Collection: Represent (Episode 2),,Samsung 2016 Jazz-L UHD TV Smart TV,00:14:32,Not latest view,GB (United Kingdom)
Jane,2021-12-03 22:30:59,00:00:24,Autoplayed: user action: None; ,Season 4 Trailer: Selling Sunset,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:24,00:00:24,GB (United Kingdom)
Jane,2021-12-03 20:51:07,01:39:37,,14 Peaks: Nothing Is Impossible,,Samsung 2016 Jazz-L UHD TV Smart TV,01:38:31,01:38:31,GB (United Kingdom)
Jane,2021-12-03 20:50:55,00:00:09,Autoplayed: user action: None; ,Character Introduction Clip: 14 Peaks: Nothing is Impossible,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:09,00:00:09,GB (United Kingdom)
Jane,2021-12-03 20:11:38,00:13:36,,James Acaster: Repertoire: Collection: Recognise (Episode 1),,Samsung 2016 Jazz-L UHD TV Smart TV,00:13:36,00:13:36,GB (United Kingdom)
Jane,2021-12-03 19:47:38,00:12:45,,James Acaster: Repertoire: Collection: Recognise (Episode 1),,Samsung 2016 Jazz-L UHD TV Smart TV,00:31:54,Not latest view,GB (United Kingdom)
Jane,2021-12-03 17:05:58,00:06:14,Autoplayed: user action: User_Interaction; ,James Acaster: Repertoire: Collection: Recognise (Episode 1),,Samsung 2016 Jazz-L UHD TV Smart TV,00:19:11,Not latest view,GB (United Kingdom)
Jane,2021-12-03 16:46:04,00:01:07,,Little Women_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:07,00:01:07,GB (United Kingdom)
Jane,2021-12-03 16:45:08,00:00:54,,Peppa Pig: Season 1_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:54,Not latest view,GB (United Kingdom)
Jane,2021-12-03 16:43:13,00:01:52,Autoplayed: user action: None; ,Trailer: Robin Robin,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:52,Not latest view,GB (United Kingdom)
Jane,2021-12-03 16:17:49,00:25:00,Autoplayed: user action: User_Interaction; ,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,,Samsung 2016 Jazz-L UHD TV Smart TV,01:00:14,01:00:14,GB (United Kingdom)
Jane,2021-12-03 16:14:14,00:03:27,,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,,Samsung 2016 Jazz-L UHD TV Smart TV,00:35:17,Not latest view,GB (United Kingdom)
Jane,2021-12-03 16:14:05,00:00:04,Autoplayed: user action: None; ,Trailer: Single All The Way,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:04,00:00:04,GB (United Kingdom)
Jane,2021-12-03 16:00:29,00:02:19,,Holiday in the Wild (Trailer),TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:02:19,00:02:19,GB (United Kingdom)
Jane,2021-12-03 15:59:36,00:00:50,,Paul Hollywood Eats Japan: Season 1_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:50,00:00:50,GB (United Kingdom)
Jane,2021-12-03 15:57:01,00:02:32,,Trailer: The Christmas Chronicles: Part Two,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:02:32,00:02:32,GB (United Kingdom)
Jane,2021-12-03 14:17:23,01:39:33,,The Christmas Chronicles,,Samsung 2016 Jazz-L UHD TV Smart TV,01:39:33,01:39:33,GB (United Kingdom)
Jane,2021-12-03 14:17:07,00:00:10,Autoplayed: user action: None; ,The Christmas Chronicles (Teaser),TEASER_TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-12-03 14:16:48,00:00:15,Autoplayed: user action: None; ,Christmas Inheritance (Trailer),TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:15,00:00:15,GB (United Kingdom)
Jane,2021-12-03 14:16:37,00:00:06,Autoplayed: user action: None; ,Last Christmas_hook_02_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:06,00:00:06,GB (United Kingdom)
Jane,2021-12-03 14:16:23,00:00:08,Autoplayed: user action: None; ,HOMEFORCHRISTMAS_S2_CLIP_PLOT,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:08,00:00:08,GB (United Kingdom)
Jane,2021-12-03 14:12:29,00:02:59,,Single All The Way,,Samsung 2016 Jazz-L UHD TV Smart TV,00:02:59,00:02:59,GB (United Kingdom)
Jane,2021-12-03 14:12:05,00:00:21,Autoplayed: user action: None; ,Teaser 1: Single All The Way,TEASER_TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:21,00:00:21,GB (United Kingdom)
Jane,2021-12-03 14:11:37,00:00:13,Autoplayed: user action: None; ,High Context Clip: 14 Peaks: Nothing is Impossible,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:13,00:00:13,GB (United Kingdom)
Jane,2021-12-02 20:32:15,00:31:51,Autoplayed: user action: User_Interaction; ,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,,Samsung 2016 Jazz-L UHD TV Smart TV,00:31:51,Not latest view,GB (United Kingdom)
Jane,2021-12-02 20:31:22,00:00:15,Autoplayed: user action: None; ,Last Christmas_hook_02_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:15,Not latest view,GB (United Kingdom)
Jane,2021-11-30 21:41:11,00:03:24,,Tiger King: Tiger King 2: Bounty Hunting (Episode 3),,Samsung 2016 Jazz-L UHD TV Smart TV,00:03:29,00:03:29,GB (United Kingdom)
Jane,2021-11-30 21:18:05,00:23:01,Autoplayed: user action: User_Interaction; ,Tiger King: Tiger King 2: The Carole Diaries (Episode 2),,Samsung 2016 Jazz-L UHD TV Smart TV,00:37:28,00:37:28,GB (United Kingdom)
Jane,2021-11-30 21:17:42,00:00:04,Autoplayed: user action: None; ,Puffin Rock: Season 1_hook_05_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:04,00:00:04,GB (United Kingdom)
Jane,2021-11-30 17:44:45,00:11:53,Autoplayed: user action: User_Interaction; ,Puffin Rock: Season 2: Just Like Mama / Diving Deeper / A Day Out (Episode 8),,Samsung 2016 Jazz-L UHD TV Smart TV,00:17:41,00:17:41,GB (United Kingdom)
Jane,2021-11-30 12:59:07,00:00:10,,Trailer: David Attenborough: A Life on Our Planet,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-11-30 12:58:14,00:00:50,Autoplayed: user action: None; ,Paul Hollywood Eats Japan: Season 1_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:50,Not latest view,GB (United Kingdom)
Jane,2021-11-30 11:34:19,01:23:51,,Christmas Land,,Samsung 2016 Jazz-L UHD TV Smart TV,01:23:51,01:23:51,GB (United Kingdom)
Jane,2021-11-30 11:34:06,00:00:10,Autoplayed: user action: None; ,Christmas Land_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2021-11-30 11:33:52,00:00:04,Autoplayed: user action: None; ,Season 1 Trailer: School of Chocolate,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:04,00:00:04,GB (United Kingdom)
Jane,2021-11-30 11:33:36,00:00:06,Autoplayed: user action: None; ,The Stranger: Season 1_PVS_MEGA,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:06,00:00:06,GB (United Kingdom)
Jane,2021-11-30 11:32:26,00:00:40,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: Catching Killers,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:40,Not latest view,GB (United Kingdom)
Jane,2021-11-29 20:52:26,00:51:37,Autoplayed: user action: User_Interaction; ,Maid: Limited Series: Snaps (Episode 10),,Samsung 2016 Jazz-L UHD TV Smart TV,00:51:53,00:51:53,GB (United Kingdom)
Jane,2021-11-29 20:32:04,00:20:16,Autoplayed: user action: User_Interaction; ,Maid: Limited Series: Sky Blue (Episode 9),,Samsung 2016 Jazz-L UHD TV Smart TV,00:57:37,00:57:37,GB (United Kingdom)
Jane,2021-11-29 20:07:53,00:00:22,Autoplayed: user action: None; ,Red Sea_hook_02_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:22,00:00:22,GB (United Kingdom)
